Folio,Periodo,Genero,Region,Campus,Escuela,Programa_Ini,PrepaTEC,PAA,PNA,Edad,P_Beca,P_Prestamo,Life,PI,Experiencia,TOEFL,Promedio_Gr,Sueldo_Nominal,Sueldo_Real,,
QRO05IA2568,AD20,Masculino,RCS,QRO,EIC,IA,NO,,,26,0.00,0.00,No,SI,Sí,550,75333,13000,13000,,
GDA05BIE4529,AD20,Femenino,RO,GDL,EIC,IIS,SI,1466,94,24,0.15,0.25,No,SI,No,620,87385,8500,8500,,
GDA05LAF4536,AD20,Masculino,RO,GDL,EN,LAF,SI,,80,24,0.00,0.15,No,SI,Sí,577,84724,46000,46000,,
HER05IMT5042,AD20,Masculino,RO,HER,EIC,IMT,SI,1445,96,24,0.40,0.20,Si,SI,Sí,677,92475,46000,46000,,
HER05IIS5041,AD20,Masculino,RO,HER,EIC,IIS,SI,,85,23,0.40,0.00,Si,SI,Sí,583,86.95,15000,15000,,
GDA05ISC4686,AD20,Masculino,RO,GDL,EIC,ISC,SI,1583,95,24,0.80,0.00,No,NO,Sí,650,93701,37000,37000,,
GDA05LAF4687,AD20,Masculino,RO,GDL,EN,LAF,SI,1487,92,23,0.50,0.00,No,SI,No,570,88949,15000,15000,,
MTY05LEM1374,AD20,Femenino,RM,MTY,EN,LEM,SI,,90,24,0.00,0.00,No,SI,Sí,623,88508,12000,12000,,
QRO05IIS2570,AD20,Masculino,RCS,QRO,EIC,IIS,SI,,92,26,0.20,0.00,No,SI,Sí,550,90.75,21000,21000,,
HER05LDI5028,AD20,Femenino,RO,HER,EAAD,LDI,SI,,,25,0.00,,No,NO,Sí,550,78847,26000,26000,,
GDA05IMT4610,AD20,Masculino,RO,GDL,EIC,IMT,SI,1486,98,23,0.50,0.00,Si,SI,Sí,600,96.54,1100000,1100000,,
HER05IIS5060,AD20,Femenino,RO,HER,EIC,IIS,SI,1288,90,23,0.40,0.40,Si,SI,Sí,550,92483,14600,14600,,
GDA05IIS4467,AD20,Masculino,RO,GDL,EIC,IIS,SI,1456,93,23,0.20,0.10,Si,SI,Sí,550,85433,6500,6500,,
GDA05IIS4648,AD20,Masculino,RO,GDL,EIC,IIS,SI,1572,95,24,0.80,0.00,Si,SI,Sí,577,92466,18000,18000,,
QROMARQ010,AD20,Masculino,RCS,QRO,EAAD,ARQ,SI,,86,28,0.00,0.00,No,SI,Sí,550,80471,8000,8000,,
GDA05LAF4718,AD20,Femenino,RO,GDL,EN,LAF,SI,1465,91,23,0.70,0.00,Si,NO,Sí,550,96275,15000,15000,,
GDA05LAE4560,AD20,Masculino,RO,GDL,EN,LAE,SI,,85,23,0.10,0.00,No,NO,Sí,550,89309,10000,10000,,
GDLWARQ013,AD20,Masculino,RO,GDL,EAAD,ARQ,SI,,87,25,0.00,0.00,No,NO,Sí,550,84196,14000,14000,,
AGS05IIS270,AD20,Femenino,RO,AGS,EIC,IIS,SI,1369,94,24,0.50,0.30,Si,NO,Sí,553,91033,15000,15000,,
GDA05IMT4567,AD20,Masculino,RO,GDL,EIC,IMT,NO,1525,93,24,0.20,0.00,Si,NO,No,550,87074,24500,24500,,
CCV05LMC3100,AD20,Femenino,DR,VER,EN,LMC,NO,1300,94,27,0.00,28910.00,Si,SI,Sí,550,89109,31000,31000,,
QRO05IA2603,AD20,Masculino,RCS,QRO,EIC,IA,SI,,79,25,0.00,0.00,Si,SI,No,550,83761,17886,17886,,
QRO05ARQ2575,AD20,Femenino,RCS,QRO,EAAD,ARQ,SI,,91,25,0.20,0.30,Si,SI,Sí,577,90775,12000,12000,,
CCV05IIS3101,AD20,Femenino,DR,VER,EIC,IIS,NO,1474,95,25,0.50,0.30,Si,NO,Sí,550,91969,20000,20000,,
MTY05IMT855,AD20,Masculino,RM,MTY,EIC,IMT,NO,,,31,0.00,,Si,NO,No,550,92589,12000,12000,,
MTY05ITC896,AD20,Femenino,RM,MTY,EIC,ITC,SI,,82,27,0.00,0.20,No,NO,Sí,607,82885,57800,57800,,
TAM05ITI2367,AD20,Masculino,RCS,TAM,EIC,ITI,SI,,,26,0.00,0.00,No,SI,Sí,580,84627,10000,10000,,
TAM05ITI2368,AD20,Masculino,RCS,TAM,EIC,ITI,SI,,82,26,0.25,0.25,Si,SI,Sí,647,87559,16000,16000,,
MTY05ITC1044,AD20,Femenino,RM,MTY,EIC,ITC,SI,,86,25,0.40,0.30,No,NO,Sí,553,86448,35000,35000,,
TAM05IMT2372,AD20,Femenino,RCS,TAM,EIC,IMT,SI,1331,90,24,0.30,0.35,Si,NO,Sí,550,88952,25000,25000,,
GDA05LRI4666,AD20,Femenino,RO,GDL,ECSG,LRI,SI,1466,96,23,0.25,0.25,Si,SI,Sí,600,91517,36000,36000,,
MTY05LEC1479,AD20,Masculino,RM,MTY,ECSG,LEC,SI,1438,98,23,0.30,0.00,Si,NO,Sí,637,96571,25000,25000,,
