Folio,Periodo,Nivel,PrepaTEC,Escuela,Genero,Edad,Foraneo,FGS,Rubrica_CyE,PromMate,Ingles,FTE,P_Beca,P_Prestamo,HijoMilitar,Prog_Lider,Retencion1erA,Prom1erSem,Prom2doSem,Prom1erA
BBDDHHIE,AD19,Profesional,SI,EHE-EAAD,Masculino,20.19166667,SI: Nacional,No,,88,7,1,0,0,NO,NO,0,70,0,70
BBDDHIJH,AD19,Profesional,SI,EMCS,Masculino,19.37222222,SI: Nacional,No,40,76,7,1,0,0,NO,NO,1,87.7,88,88.52777778
BBDDHJGC,AD19,Profesional,SI,EAAD-EIC,Masculino,19.04444444,SI: Nacional,No,,57.5,7,1,0,0,NO,NO,1,75.33333333,83.875,81.91891892
BBDDHJJH,AD19,Profesional,SI,EIC,Masculino,19.15,Local,No,,73,7,1,0,0,NO,NO,1,69.57142857,81,68.38888889
BBDDHJKF,AD19,Profesional,SI,EHE-EAAD,Femenino,19.15,SI: Nacional,No,,70,7,1,0,0,NO,NO,1,88.33333333,93,90.66666667
BBDDHKBG,AD19,Profesional,SI,EIC,Masculino,18.86111111,Local,No,,79,1,1,0.4,0.2,NO,NO,1,77.5,82.88888889,80.80555556
BBDDHKBH,AD19,Profesional,SI,EIC,Femenino,18.63055556,SI: Nacional,No,,87,1,1,0,0,NO,NO,1,81.75,89.11111111,85.47222222
BBDDHKBJ,AD19,Profesional,SI,EIC,Masculino,18.62777778,Local,No,,91,1,1,0.2,0.2,NO,NO,1,87.28571429,93.22222222,90.77777778
BBDDHKCB,AD19,Profesional,SI,EN,Masculino,18.18888889,Local,Sí,,75,1,1,0,0,NO,NO,1,87.5,87.8,87.80555556
BBDDHKCD,AD19,Profesional,SI,ECSG,Femenino,18.89444444,SI: Nacional,No,,87.5,1,1,0,0,NO,NO,1,93.85714286,93.75,93.55555556
BBDDHKCF,AD19,Profesional,SI,EN,Femenino,18.36666667,Local,No,,87,1,1,0,0,NO,NO,1,86.6,85.1,86.94444444
BBDDHKCG,AD19,Profesional,SI,EIC,Masculino,18.14722222,SI: Nacional,No,,78,1,1,0,0,NO,NO,1,89.75,90.125,89.38235294
BBDDHKCI,AD19,Profesional,SI,EN,Masculino,18.40555556,Local,No,,82,1,1,0.15,0.15,NO,NO,1,84.55555556,85,84.63888889
BBDDHKCK,AD19,Profesional,SI,EIC,Masculino,18.70833333,Local,No,,74,1,1,0,0.25,NO,NO,1,77.5,82.88888889,81.80555556
BBDDHKDF,AD19,Profesional,SI,EIC,Masculino,17.65833333,Local,No,,93.5,1,1,0.45,0.25,NO,NO,1,93,95.44444444,93.11111111
BBDDHKDH,AD19,Profesional,SI,EN,Femenino,18.39722222,Local,No,,85.5,1,1,0.2,0.2,NO,NO,1,90,88.6,89.66666667
BBDDHKDI,AD19,Profesional,SI,EN,Masculino,18.63888889,Local,No,,78.5,1,1,0.5,0,NO,NO,0,72.83333333,0,74.3
BBDDHKDJ,AD19,Profesional,SI,EN,Masculino,18.56666667,Local,No,,76.5,1,1,0,0,NO,NO,1,72.5,83.3,78.38461538
BBDDHKEC,AD19,Profesional,SI,EN,Femenino,18.15,SI: Nacional,No,,96,1,1,0,0,NO,NO,0,90.3,0,89.94444444
BBDDHKED,AD19,Profesional,SI,EIC,Masculino,18.90833333,Local,No,,76.5,1,1,0.35,0.25,NO,NO,1,80.85714286,85.55555556,84.16666667
BBDDHKEG,AD19,Profesional,SI,EN,Femenino,18.65833333,Local,No,,77.5,1,1,0.25,0.25,NO,NO,0,84,0,86.57142857
BBDDHKEI,AD19,Profesional,SI,EN,Femenino,18.38333333,Local,No,,75,1,1,0,0,NO,NO,0,73.66666667,0,79
BBDDHKEJ,AD19,Profesional,SI,EN,Masculino,18.7,SI: Nacional,No,,87,1,1,0.25,0.25,NO,NO,1,90.66666667,91.4,88.75
BBDDHKFB,AD19,Profesional,SI,EIC,Masculino,18.65833333,Local,No,,74.5,1,1,0.25,0.25,NO,NO,0,75.66666667,0,74.5
BBDDHKFC,AD19,Profesional,SI,EN,Femenino,18.48611111,Local,No,,74.5,1,1,0.4,0.2,NO,NO,1,83,85.1,84.97222222
BBDDHKFD,AD19,Profesional,SI,EN,Femenino,17.925,Local,No,,76.5,1,1,0,0.25,NO,NO,1,86,87.6,87.11111111
BBDDHKFF,AD19,Profesional,SI,EN,Masculino,18.32222222,Local,No,,92,7,1,0.35,0.25,NO,NO,1,88.2,83.3,84.75
BBDDHKFI,AD19,Profesional,SI,EAAD-EIC,Masculino,19.01388889,SI: Nacional,No,,64,1,1,0,0,NO,NO,1,67,35.125,50.83333333
BBDDHKFK,AD19,Profesional,SI,EIC,Femenino,17.66944444,Local,No,,97,1,1,0.5,0.2,NO,NO,1,96.28571429,98,96.97222222
BBDDHKGB,AD19,Profesional,SI,EIC,Masculino,17.89722222,Local,No,,93,7,1,0.35,0,NO,NO,1,91.875,97.55555556,94.97222222
BBDDHKGE,AD19,Profesional,SI,EIC,Masculino,18.14166667,SI: Nacional,Sí,,78,7,1,0,0,NO,NO,1,81,92.33333333,86.58333333
BBDDHKGF,AD19,Profesional,SI,EN,Femenino,18.48611111,Local,No,,98,7,1,0.6,0,NO,NO,1,94.4,94.4,95
BBDDHKGJ,AD19,Profesional,SI,ECSG,Femenino,18.075,SI: Nacional,No,,74,1,1,0,0,NO,NO,1,84.71428571,91.875,87.38888889
BBDDHKGK,AD19,Profesional,SI,EN,Femenino,18.52777778,Local,No,,84,1,1,0,0,NO,NO,1,89.6,90.2,89.88888889
BBDDHKHE,AD19,Profesional,SI,EAAD-EIC,Masculino,18.17777778,SI: Nacional,Sí,,96.5,7,1,0.5,0,NO,NO,1,93.28571429,96.375,94.61111111
BBDDHKHF,AD19,Profesional,SI,EN,Masculino,18.775,Local,Sí,,72,1,1,0,0,NO,NO,0,66.66666667,0,68
BBDDHKHI,AD19,Profesional,SI,EHE-EAAD,Femenino,18.125,SI: Nacional,No,,83,7,1,0,0,NO,NO,1,88.5,92.33333333,90.41666667
BBDDHKIB,AD19,Profesional,SI,EIC,Masculino,18.88333333,Local,No,,78,7,1,0,0,NO,NO,1,80,86.77777778,83.86111111
BBDDHKIC,AD19,Profesional,SI,EN,Masculino,18.84444444,Local,No,,81,1,1,0,0,NO,NO,1,84.5,87.3,85.61111111
BBDDHKID,AD19,Profesional,SI,EN,Femenino,18.825,Local,No,,73,1,1,0.6,0,NO,NO,1,86.44444444,89.6,88.05555556
BBDDHKIE,AD19,Profesional,SI,EIC,Femenino,18.05555556,Local,No,,86,1,1,0,0.25,NO,NO,1,59,86.42857143,73.39473684
BBDDHKIF,AD19,Profesional,SI,EN,Femenino,18.73333333,Local,No,,74.5,1,1,0,0,NO,NO,0,86.2,85.83333333,87.64285714
BBDDHKIJ,AD19,Profesional,SI,EN,Femenino,18.73055556,SI: Nacional,No,,87.5,1,1,0.5,0,NO,NO,1,92.4,93.6,94.33333333
BBDDHKIK,AD19,Profesional,SI,EIC,Masculino,18.625,Local,No,,81,7,1,0,0,NO,NO,1,79.28571429,86.75,82.02941176
BBDDHKJD,AD19,Profesional,SI,EIC,Femenino,17.91944444,SI: Nacional,No,,76,7,1,0,0,NO,NO,1,85,86.44444444,87.19444444
BBDDHKJE,AD19,Profesional,SI,EN,Femenino,17.76944444,Local,No,,67,1,1,0,0,NO,NO,0,0,0,#N/A
BBDDHKJF,AD19,Profesional,SI,EIC,Masculino,18.63055556,SI: Nacional,No,,93.5,7,1,0.1,0.1,NO,NO,1,94.75,95.22222222,95.27777778
BBDDHKJG,AD19,Profesional,SI,EN,Masculino,18.18888889,Local,No,,73.5,1,1,0,0.25,NO,NO,0,70.2,68.6,70.21052632
BBDDHKJK,AD19,Profesional,SI,EIC,Masculino,18.33611111,SI: Nacional,No,,77,1,1,0,0,NO,NO,1,82.57142857,88.22222222,85.61111111
BBDDHKKH,AD19,Profesional,SI,EIC,Masculino,18.43611111,SI: Nacional,No,,76.5,7,1,0,0,NO,NO,1,85.75,87.55555556,86.63888889
BBDDIBBB,AD19,Profesional,SI,ECSG,Femenino,18.325,SI: Nacional,No,,74,1,1,0,0,NO,NO,1,89.6,80.28571429,86.41176471
BBDDIBBD,AD19,Profesional,NO,EN,Masculino,18.88611111,SI: Nacional,No,17,NA,4,1,0,0.25,NO,NO,1,71.3,78.28571429,79.03125
BBDDIBBE,AD19,Profesional,SI,EIC,Femenino,17.91944444,Local,No,,97,1,1,0.45,0.25,NO,NO,1,95.28571429,97.22222222,96.38888889
BBDDIBBF,AD19,Profesional,SI,EN,Femenino,18.575,Local,No,,77.5,1,1,0,0,NO,NO,1,83.5,85.7,85.27777778
BBDDIBBJ,AD19,Profesional,SI,EIC,Masculino,18.23055556,SI: Nacional,Sin información,,85,1,0.958333333,0,0,NO,NO,1,85.375,88.5,85.16666667
BBDDIBDE,AD19,Profesional,SI,EHE-EAAD,Femenino,18.16944444,SI: Nacional,Sí,,63,1,1,0,0,NO,NO,1,88.16666667,89.66666667,88.91666667
BBDDIBEG,AD19,Profesional,SI,ECSG,Femenino,18.775,Local,Sin información,,87.5,1,1,0.45,0.25,NO,NO,1,75.42857143,71.28571429,74.57142857
BBDDIBEH,AD19,Profesional,SI,EN,Masculino,17.96388889,Local,No,,77.5,1,1,0,0,NO,NO,1,79.6,53.8,66.38888889
BBDDIBEI,AD19,Profesional,SI,EN,Femenino,17.75555556,Local,No,,70.5,7,1,0,0,NO,NO,1,83.1,80.2,81.69444444
