Genero,Region,Campus,Escuela,Programa_Ini,PrepaTEC,PAA,PNA,P_Beca,P_Prestamo,Life,PI,Experiencia,TOEFL,Promedio_Gr,Sueldo_Real
Masculino,RCS,QRO,EIC,IA,NO,1487.0,90.0,0.0,0.0,No,SI,Sí,550.0,75333.0,13000.0
Femenino,RO,GDL,EIC,IIS,SI,1466.0,94.0,0.15,0.25,No,SI,No,620.0,87385.0,8500.0
Masculino,RO,GDL,EN,LAF,SI,1487.0,80.0,0.0,0.15,No,SI,Sí,577.0,84724.0,46000.0
Masculino,RO,HER,EIC,IMT,SI,1445.0,96.0,0.4,0.2,Si,SI,Sí,677.0,92475.0,46000.0
Masculino,RO,HER,EIC,IIS,SI,1487.0,85.0,0.4,0.0,Si,SI,Sí,583.0,86.95,15000.0
Masculino,RO,GDL,EIC,ISC,SI,1583.0,95.0,0.8,0.0,No,NO,Sí,650.0,93701.0,37000.0
Masculino,RO,GDL,EN,LAF,SI,1487.0,92.0,0.5,0.0,No,SI,No,570.0,88949.0,15000.0
Femenino,RM,MTY,EN,LEM,SI,1487.0,90.0,0.0,0.0,No,SI,Sí,623.0,88508.0,12000.0
Masculino,RCS,QRO,EIC,IIS,SI,1487.0,92.0,0.2,0.0,No,SI,Sí,550.0,90.75,21000.0
Femenino,RO,HER,EAAD,LDI,SI,1487.0,90.0,0.0,0.0,No,NO,Sí,550.0,78847.0,26000.0
Masculino,RO,GDL,EIC,IMT,SI,1486.0,98.0,0.5,0.0,Si,SI,Sí,600.0,96.54,1100000.0
Femenino,RO,HER,EIC,IIS,SI,1288.0,90.0,0.4,0.4,Si,SI,Sí,550.0,92483.0,14600.0
Masculino,RO,GDL,EIC,IIS,SI,1456.0,93.0,0.2,0.1,Si,SI,Sí,550.0,85433.0,6500.0
Masculino,RO,GDL,EIC,IIS,SI,1572.0,95.0,0.8,0.0,Si,SI,Sí,577.0,92466.0,18000.0
Masculino,RCS,QRO,EAAD,ARQ,SI,1487.0,86.0,0.0,0.0,No,SI,Sí,550.0,80471.0,8000.0
Femenino,RO,GDL,EN,LAF,SI,1465.0,91.0,0.7,0.0,Si,NO,Sí,550.0,96275.0,15000.0
Masculino,RO,GDL,EN,LAE,SI,1487.0,85.0,0.1,0.0,No,NO,Sí,550.0,89309.0,10000.0
Masculino,RO,GDL,EAAD,ARQ,SI,1487.0,87.0,0.0,0.0,No,NO,Sí,550.0,84196.0,14000.0
Femenino,RO,AGS,EIC,IIS,SI,1369.0,94.0,0.5,0.3,Si,NO,Sí,553.0,91033.0,15000.0
Masculino,RO,GDL,EIC,IMT,NO,1525.0,93.0,0.2,0.0,Si,NO,No,550.0,87074.0,24500.0
Femenino,DR,VER,EN,LMC,NO,1300.0,94.0,0.0,28910.0,Si,SI,Sí,550.0,89109.0,31000.0
Masculino,RCS,QRO,EIC,IA,SI,1487.0,79.0,0.0,0.0,Si,SI,No,550.0,83761.0,17886.0
Femenino,RCS,QRO,EAAD,ARQ,SI,1487.0,91.0,0.2,0.3,Si,SI,Sí,577.0,90775.0,12000.0
Femenino,DR,VER,EIC,IIS,NO,1474.0,95.0,0.5,0.3,Si,NO,Sí,550.0,91969.0,20000.0
Masculino,RM,MTY,EIC,IMT,NO,1487.0,90.0,0.0,0.0,Si,NO,No,550.0,92589.0,12000.0
Femenino,RM,MTY,EIC,ITC,SI,1487.0,82.0,0.0,0.2,No,NO,Sí,607.0,82885.0,57800.0
Masculino,RCS,TAM,EIC,ITI,SI,1487.0,90.0,0.0,0.0,No,SI,Sí,580.0,84627.0,10000.0
Masculino,RCS,TAM,EIC,ITI,SI,1487.0,82.0,0.25,0.25,Si,SI,Sí,647.0,87559.0,16000.0
Femenino,RM,MTY,EIC,ITC,SI,1487.0,86.0,0.4,0.3,No,NO,Sí,553.0,86448.0,35000.0
Femenino,RCS,TAM,EIC,IMT,SI,1331.0,90.0,0.3,0.35,Si,NO,Sí,550.0,88952.0,25000.0
Femenino,RO,GDL,ECSG,LRI,SI,1466.0,96.0,0.25,0.25,Si,SI,Sí,600.0,91517.0,36000.0
Masculino,RM,MTY,ECSG,LEC,SI,1438.0,98.0,0.3,0.0,Si,NO,Sí,637.0,96571.0,25000.0
Masculino,RO,LEO,EN,LCDE,NO,1289.0,78.0,0.0,0.0,No,NO,Sí,560.0,85163.0,3000.0
Masculino,RO,LEO,EAAD,ARQ,SI,1487.0,90.0,0.6,0.2,Si,NO,Sí,593.0,78938.0,0.0
Femenino,RM,MTY,EIC,IMT,SI,1487.0,91.0,0.15,0.15,Si,SI,Sí,667.0,93475.0,20000.0
Masculino,RO,LEO,EAAD,LDI,SI,1561.0,94.0,0.8,0.0,No,NO,Sí,670.0,91052.0,8000.0
Masculino,RO,LEO,EIC,IMT,SI,1487.0,90.0,0.2,0.2,Si,NO,Sí,567.0,86376.0,12000.0
Masculino,RO,LEO,EIC,IIS,SI,1515.0,93.0,0.8,0.0,Si,NO,Sí,633.0,92383.0,18000.0
Masculino,RO,LEO,EN,LAF,NO,1331.0,85.0,0.0,0.0,No,SI,Sí,537.0,78875.0,10000.0
Masculino,RM,MTY,EN,LAE,NO,1487.0,90.0,0.0,0.0,No,SI,Sí,550.0,88898.0,20000.0
Masculino,RO,LEO,EAAD,LDI,NO,1257.0,80.0,0.15,0.15,No,NO,Sí,550.0,89616.0,10000.0
Femenino,RO,LEO,EAAD,LDI,NO,1241.0,82.0,0.0,0.0,No,SI,Sí,593.0,83569.0,8000.0
Femenino,RO,LEO,EN,LIN,NO,1355.0,87.0,0.1,0.0,No,SI,Sí,550.0,94724.0,10000.0
Masculino,RCS,QRO,EIC,IIA,NO,1300.0,94.0,0.0,0.0,No,NO,No,550.0,79573.0,6000.0
Masculino,RO,LEO,EN,LAE,NO,1205.0,87.0,0.0,0.0,No,SI,Sí,543.0,81967.0,61000.0
Masculino,RO,LEO,EN,LMC,SI,1487.0,90.0,0.4,0.4,Si,NO,Sí,550.0,86032.0,8000.0
Masculino,RO,LEO,EN,LAF,SI,1487.0,85.0,0.25,0.25,No,NO,Sí,550.0,88964.0,15000.0
Masculino,RO,LEO,EN,LMC,SI,1487.0,83.0,0.4,0.0,Si,SI,Sí,593.0,89901.0,12000.0
Masculino,RO,LEO,EIC,IIS,NO,1481.0,97.0,0.5,0.0,No,SI,Sí,647.0,93.18,20000.0
Masculino,RO,LEO,EN,LAF,SI,1413.0,93.0,0.4,0.2,Si,SI,Sí,543.0,95928.0,23000.0
