Foraneo,FGS,Rubrica_CyE,PromMate,Ingles,FTE,P_Beca,P_Prestamo,Retencion1erA,Prom1erSem,Prom2doSem,Prom1erA,Escuela_0,Escuela_1,Genero_Femenino,HijoMilitar_NO,HijoMilitar_SI,Prog_Lider_NO,Prog_Lider_SI
SI: Nacional,No,0.0,70.0,7,1.0,0.0,0.0,1,88.33333333,93.0,90.66666667,0,1,1,1,0,1,0
SI: Nacional,No,0.0,87.0,1,1.0,0.0,0.0,1,81.75,89.11111111,85.47222222,1,0,1,1,0,1,0
SI: Nacional,No,0.0,87.5,1,1.0,0.0,0.0,1,93.85714286,93.75,93.55555556,0,1,1,1,0,1,0
Local,No,0.0,87.0,1,1.0,0.0,0.0,1,86.6,85.1,86.94444444,0,1,1,1,0,1,0
Local,No,0.0,85.5,1,1.0,0.2,0.2,1,90.0,88.6,89.66666667,0,1,1,1,0,1,0
SI: Nacional,No,0.0,96.0,1,1.0,0.0,0.0,0,90.3,0.0,89.94444444,0,1,1,1,0,1,0
Local,No,0.0,77.5,1,1.0,0.25,0.25,0,84.0,0.0,86.57142857,0,1,1,1,0,1,0
Local,No,0.0,75.0,1,1.0,0.0,0.0,0,73.66666667,0.0,79.0,0,1,1,1,0,1,0
Local,No,0.0,74.5,1,1.0,0.4,0.2,1,83.0,85.1,84.97222222,0,1,1,1,0,1,0
Local,No,0.0,76.5,1,1.0,0.0,0.25,1,86.0,87.6,87.11111111,0,1,1,1,0,1,0
Local,No,0.0,97.0,1,1.0,0.5,0.2,1,96.28571429,98.0,96.97222222,1,0,1,1,0,1,0
Local,No,0.0,98.0,7,1.0,0.6,0.0,1,94.4,94.4,95.0,0,1,1,1,0,1,0
SI: Nacional,No,0.0,74.0,1,1.0,0.0,0.0,1,84.71428571,91.875,87.38888889,0,1,1,1,0,1,0
Local,No,0.0,84.0,1,1.0,0.0,0.0,1,89.6,90.2,89.88888889,0,1,1,1,0,1,0
SI: Nacional,No,0.0,83.0,7,1.0,0.0,0.0,1,88.5,92.33333333,90.41666667,0,1,1,1,0,1,0
Local,No,0.0,73.0,1,1.0,0.6,0.0,1,86.44444444,89.6,88.05555556,0,1,1,1,0,1,0
Local,No,0.0,86.0,1,1.0,0.0,0.25,1,59.0,86.42857143,73.39473684,1,0,1,1,0,1,0
Local,No,0.0,74.5,1,1.0,0.0,0.0,0,86.2,85.83333333,87.64285714,0,1,1,1,0,1,0
SI: Nacional,No,0.0,87.5,1,1.0,0.5,0.0,1,92.4,93.6,94.33333333,0,1,1,1,0,1,0
SI: Nacional,No,0.0,76.0,7,1.0,0.0,0.0,1,85.0,86.44444444,87.19444444,1,0,1,1,0,1,0
Local,No,0.0,67.0,1,1.0,0.0,0.0,0,0.0,0.0,0.0,0,1,1,1,0,1,0
SI: Nacional,No,0.0,74.0,1,1.0,0.0,0.0,1,89.6,80.28571429,86.41176471,0,1,1,1,0,1,0
Local,No,0.0,97.0,1,1.0,0.45,0.25,1,95.28571429,97.22222222,96.38888889,1,0,1,1,0,1,0
Local,No,0.0,77.5,1,1.0,0.0,0.0,1,83.5,85.7,85.27777778,0,1,1,1,0,1,0
SI: Nacional,Sí,0.0,63.0,1,1.0,0.0,0.0,1,88.16666667,89.66666667,88.91666667,0,1,1,1,0,1,0
Local,Sin información,0.0,87.5,1,1.0,0.45,0.25,1,75.42857143,71.28571429,74.57142857,0,1,1,1,0,1,0
Local,No,0.0,70.5,7,1.0,0.0,0.0,1,83.1,80.2,81.69444444,0,1,1,1,0,1,0
Local,No,0.0,86.5,1,1.0,0.25,0.25,1,94.4,95.83333333,95.54545455,0,1,1,1,0,1,0
SI: Nacional,Sí,0.0,87.0,7,1.0,0.0,0.0,1,91.5,89.8,90.75,0,1,1,1,0,1,0
Local,No,0.0,75.0,1,1.0,0.4,0.0,1,83.8,85.0,85.75,0,1,1,1,0,1,0
Local,No,0.0,75.0,7,1.0,0.0,0.0,0,0.0,0.0,0.0,0,1,1,1,0,1,0
Local,No,36.0,82.74521609790698,3,1.0,0.2,0.0,1,82.0,88.66666667,85.02777778,1,0,1,1,0,0,1
Local,Sí,31.0,82.74521609790698,1,1.0,0.35,0.25,1,95.0,95.4,95.5,0,1,1,1,0,1,0
Local,Sí,50.0,82.74521609790698,6,1.0,0.2,0.0,1,88.57142857,95.44444444,92.44444444,1,0,1,1,0,0,1
Local,No,50.0,82.74521609790698,6,1.0,0.45,0.25,1,89.7,93.1,92.0,0,1,1,1,0,1,0
Local,No,34.0,82.74521609790698,2,1.0,0.2,0.0,1,86.42857143,93.22222222,90.30555556,1,0,1,1,0,0,1
Local,No,50.0,82.74521609790698,6,1.0,0.2,0.0,1,95.0,94.9,95.52777778,0,1,1,1,0,0,1
Local,No,40.0,82.74521609790698,6,1.0,0.2,0.0,1,81.85714286,91.55555556,88.22222222,1,0,1,1,0,0,1
Local,No,40.0,82.74521609790698,5,1.0,0.25,0.25,1,83.57142857,94.11111111,89.69444444,1,0,1,1,0,1,0
Local,No,34.0,82.74521609790698,1,1.0,0.35,0.25,1,88.28571429,94.11111111,90.77777778,1,0,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,1.0,0.0,0.0,1,84.55555556,81.2,83.91666667,0,1,1,1,0,1,0
SI: Nacional,No,30.0,82.74521609790698,2,1.0,0.35,0.25,1,88.42857143,93.11111111,90.61111111,1,0,1,1,0,1,0
Local,No,46.0,82.74521609790698,4,1.0,0.2,0.2,0,71.5,0.0,76.1,0,1,1,1,0,1,0
Local,No,40.0,82.74521609790698,6,1.0,0.25,0.25,1,84.1,85.6,86.47222222,0,1,1,1,0,1,0
Local,No,46.0,82.74521609790698,6,1.0,0.0,0.0,1,85.1,89.8,88.72222222,0,1,1,1,0,1,0
Local,No,0.0,87.0,1,1.0,0.55,0.0,1,94.8,96.9,95.19444444,0,1,1,1,0,1,0
SI: Nacional,Sí,0.0,86.5,1,1.0,0.0,0.0,1,79.6,78.90909091,82.63888889,0,1,1,1,0,1,0
Local,No,0.0,94.5,1,1.0,0.55,0.25,1,94.375,95.55555556,95.97222222,1,0,1,1,0,1,0
Local,No,0.0,89.5,1,1.0,0.0,0.0,1,93.33333333,87.83333333,90.91666667,0,1,1,1,0,1,0
SI: Nacional,Sin información,48.0,88.5,7,1.0,0.0,0.0,1,68.0,0.0,68.0,0,1,1,1,0,1,0
Local,Sin información,0.0,72.0,1,1.0,0.3,0.0,0,41.4,0.0,43.33333333,0,1,1,1,0,1,0
SI: Nacional,No,0.0,73.0,1,1.0,0.0,0.0,1,73.0,87.625,82.58333333,1,0,1,1,0,1,0
Local,No,0.0,54.0,2,0.833333333,0.0,0.0,1,75.11111111,78.5,76.55555556,0,1,1,1,0,1,0
SI: Nacional,No,0.0,100.0,7,1.0,0.6,0.2,1,96.71428571,98.5,97.33333333,0,1,1,1,0,1,0
Local,No,0.0,82.5,7,1.0,0.9,0.0,1,95.66666667,95.5,95.58333333,0,1,1,1,0,1,0
SI: Nacional,No,0.0,90.0,7,1.0,0.0,0.0,1,90.4,92.8,90.83333333,0,1,1,1,0,1,0
SI: Nacional,Sí,0.0,69.5,4,1.0,0.0,0.0,1,82.85714286,91.44444444,89.33333333,1,0,1,1,0,1,0
Local,Sin información,0.0,62.0,1,1.0,0.0,0.0,1,79.5,73.66666667,78.9,0,1,1,1,0,1,0
SI: Nacional,No,0.0,74.5,7,1.0,0.0,0.0,1,93.0,90.9,91.86111111,0,1,1,1,0,1,0
SI: Nacional,No,0.0,88.5,7,1.0,0.0,0.0,1,91.85714286,95.625,93.44444444,1,0,1,0,1,1,0
SI: Nacional,No,0.0,77.5,4,1.0,0.45,0.25,1,88.1,90.7,89.27777778,0,1,1,1,0,1,0
SI: Nacional,No,0.0,87.5,1,1.0,0.25,0.25,1,94.57142857,95.0,95.11111111,1,0,1,1,0,1,0
SI: Nacional,No,0.0,92.5,1,1.0,0.5,0.0,1,81.0,90.66666667,86.25,1,0,1,1,0,1,0
SI: Nacional,No,0.0,82.5,1,1.0,0.25,0.25,1,92.25,93.66666667,92.19444444,1,0,1,1,0,1,0
Local,No,0.0,83.0,1,1.0,0.45,0.25,1,88.125,88.77777778,87.38888889,1,0,1,1,0,1,0
SI: Nacional,No,0.0,71.5,1,1.0,0.9,0.0,1,90.88888889,91.22222222,89.87878788,0,1,1,1,0,1,0
SI: Nacional,No,0.0,92.0,4,1.104166667,0.2,0.2,1,86.58333333,94.3,92.65789474,0,1,1,1,0,1,0
SI: Nacional,No,0.0,100.0,7,1.0,0.5,0.0,1,97.55555556,98.2,97.25,0,1,1,1,0,1,0
SI: Nacional,Sí,0.0,92.5,7,1.0,0.25,0.25,1,81.66666667,87.22222222,88.67567568,0,1,1,1,0,1,0
SI: Nacional,Sí,0.0,74.5,3,1.0,0.0,0.0,1,82.57142857,85.0,83.91666667,1,0,1,1,0,1,0
SI: Nacional,No,0.0,91.0,7,1.0,0.2,0.2,1,93.66666667,92.4,93.66666667,0,1,1,1,0,1,0
Local,No,0.0,88.0,7,1.0,0.0,0.0,1,88.57142857,88.44444444,89.16666667,1,0,1,1,0,1,0
SI: Nacional,No,0.0,78.5,7,1.0,0.0,0.0,1,90.16666667,78.66666667,84.875,0,1,1,1,0,1,0
SI: Nacional,No,0.0,83.5,7,1.0,0.55,0.25,1,93.16666667,92.5,92.83333333,0,1,1,1,0,1,0
Local,No,36.0,84.5,7,1.041666667,0.149999997,0.149999997,1,81.11111111,80.88888889,85.7027027,0,1,1,1,0,1,0
SI: Nacional,No,0.0,100.0,7,1.0,0.5,0.0,1,94.25,92.0,93.75,1,0,1,1,0,1,0
SI: Nacional,No,0.0,91.5,7,0.666666667,0.250000001,0.250000001,1,90.5,0.0,90.5,0,1,1,1,0,1,0
SI: Nacional,No,0.0,98.0,7,1.0,0.5,0.25,1,87.14285714,91.88888889,90.13888889,1,0,1,1,0,1,0
SI: Nacional,No,0.0,91.5,7,1.0,0.3,0.2,1,93.16666667,90.83333333,92.0,0,1,1,1,0,1,0
SI: Nacional,No,0.0,82.0,7,1.0,0.0,0.0,1,91.16666667,87.0,90.16666667,0,1,1,1,0,1,0
SI: Nacional,No,0.0,88.0,7,1.0,0.0,0.0,1,81.1,86.88888889,84.77777778,0,1,1,1,0,1,0
SI: Nacional,No,0.0,80.5,4,1.0,0.0,0.0,1,84.5,88.0,86.09090909,0,1,1,1,0,1,0
SI: Nacional,No,0.0,99.5,7,1.0,0.4,0.0,1,94.33333333,96.8,94.41666667,0,1,1,1,0,1,0
Local,No,0.0,77.5,7,1.0,0.2,0.2,1,90.66666667,89.9,91.0,0,1,1,1,0,1,0
SI: Nacional,No,0.0,95.0,4,1.0,0.2,0.2,1,93.125,96.77777778,94.56756757,1,0,1,1,0,1,0
Local,Sin información,0.0,70.5,7,1.0,0.0,0.0,1,76.22222222,78.0,76.94444444,0,1,1,1,0,1,0
Local,Sí,40.0,82.74521609790698,4,1.0,0.0,0.0,1,86.6,90.0,87.05555556,0,1,1,1,0,1,0
Local,No,0.0,87.0,6,1.0,0.0,0.0,1,88.0,89.7,88.52777778,0,1,1,1,0,1,0
Local,No,32.0,82.74521609790698,6,1.0,0.0,0.0,1,93.0,95.44444444,93.77419355,1,0,1,1,0,1,0
Local,No,38.0,82.5,7,1.0,0.2,0.2,1,96.75,93.8,95.41666667,0,1,1,1,0,1,0
SI: Nacional,Sí,0.0,77.0,5,1.0,0.0,0.0,1,86.75,91.875,88.3030303,1,0,1,1,0,1,0
Local,Sí,0.0,77.5,7,1.0,0.0,0.0,1,43.88888889,76.6,68.43478261,0,1,1,1,0,1,0
Local,Sí,0.0,74.0,2,1.0,0.6,0.2,1,87.6,94.0,92.63888889,0,1,1,1,0,1,0
Local,Sí,0.0,93.0,7,1.0,0.4,0.0,1,91.85714286,94.625,94.02777778,1,0,1,1,0,1,0
Local,No,35.0,82.74521609790698,6,1.104166667,0.0,0.0,0,76.45454545,1.0,69.60869565,0,1,1,1,0,1,0
Local,Sin información,0.0,76.0,7,1.0,0.0,0.0,0,46.25,0.0,48.90909091,0,1,1,1,0,1,0
